username,name,followers_count,final_location,count,x_id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
JavierBlas,Javier Blas,392184,United Kingdom,4,1647573157,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
NachoRgz,Nacho Rodriguez (El Chapucero),389601,Mexico,2,68723105,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnes_law,Robert Barnes,368114,United States,1,2301990517,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
zei_squirrel,☀️👀,347220,North America,1,2786053933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ShamaJunejo,Dr Shama Junejo,337568,United Kingdom,8,62784626,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
GeromanAT,-- GEROMAN -- time will tell - 👀 --,334973,Austria,6,3373146857,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
fpleitgenCNN,Frederik Pleitgen,334364,Germany,2,23572083,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sentletse,Sentletse 🇿🇦🇷🇺🇵🇸🇱🇧,326031,South Africa,2,40548465,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meteo1970,2⃣40K🔥💯 Pietro Di Tora 💯🔥,286765,Italy,2,278469423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zeinobia,Zeinobia 🎙️📷📓🍉,285522,Egypt,2,608583,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ayadjamaladdin,اياد جمال الدين,281629,United States,1,2460048277,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AliAbunimah,Ali Abunimah,277249,United States,1,16799023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SaraMirGilgity,Sara Mir,271480,Europe,6,1514302511951360000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
RealPepeEscobar,Pepe Escobar,259803,Thailand,3,1435906191373180000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
timand2037,tim anderson,257731,Australia,1,56575418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lookner,Steve Lookner,250098,United States,1,51661036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M_Boynukalin,Mehmet Boynukalın,247794,Turkey,1,1313017448199850000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdlgni_AZubidi,عبدالغني الزبيدي abdulghani alzubaidi,239769,United States,1,1233096893116420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
upholdreality,COMBATE |🇵🇷,231712,Puerto Rico,1,1076661635819940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MenchOsint,MenchOsint,225634,Europe,1,1560062743604070000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandarhetar,بندر الهتار,222629,Yemen,1,1349163806937780000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
propandco,Propaganda & co,220700,Sweden,2,1373746318141750000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kamalsharf,kamal  sharaf كمال شرف,219328,Yemen,1,83337347,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fatih_yasli,fatih yaşlı,216629,Turkey,1,409568623,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
omidmollaye_,امید ملایی,215832,West Asia,1,1059508906530140000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IrnaEnglish,IRNA News Agency ☫,214360,Iran,6,813279088865645000,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1
ArmedForcesIR09,Iranian Armed Forces Comm,210237,South Asia,1,1448021957832860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AHLULBAYT_TV,قناة أهل البيت,209055,Web VPN Iraq,8,141618604,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1
TadhgHickey,Tehran Tadhg,203012,Ireland,1,310418420,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EndGameWW3,EndGameWW3 🇺🇸,202660,United States,1,32792712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ejmalrai,Elijah J. Magnier 🇪🇺,194257,Europe,1,2263105532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PierreABISAAB,Pierre Abi-Saab,191393,Lebanon,1,1327775185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IraninSA,Iran Embassy SA,184030,South Africa,1,916586719692116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mikelayestaran,mikel ayestaran,181837,Spain,1,50908485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
famil2r,امید نریمانی/ فامیل دور 🟩 ☫ 🟥,175706,Iran,5,1216399328857790000,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
rockfish31,JSF,159947,Japan,2,234201183,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NetworksManager,Bruce Porter Jr. ,158100,United States,16,115681686,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1
OkwasiaBiNti,Nsawam Michael Scofield 🪄,157389,Ghana,1,1148892682732930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MazMHussain,Murtaza Hussain,156018,United States,1,84816752,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MonaTahini,Mona Tahini منى طحيني,152209,Lebanon,1,884504995487470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PravinSawhney,Pravin Sawhney,152047,India,1,416882361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
saeedthabit,Saeed Thabit Saeed,151459,West Asia,1,301611077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BusaidiNaser,نصر البوسعيدي,148791,West Asia,1,1578353491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SpecialSitsNews,Special Situations 🌐 Research Newsletter (Jay),144144,Europe,1,1242122660500380000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aakar__Patel,Aakar Patel,144069,India,1,3769060167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
qcCultural,Quociente Cultural® 🎒,142830,Portugal,2,15896379,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Zabayar,Adel El Zabayar,137723,Venezuela,2,548095877,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
hasanahmadian,Hassan Ahmadian حسن احمدیان,133911,Qatar,1,292162056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dunya20101,İlhami Işık,133835,Turkey,1,1337342689,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tasnimnews_EN,Tasnim News Agency,133573,Iran,1,1699037857,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BBCKasraNaji,Kasra Naji,132504,United Kingdom,5,322810914,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2E+92,𝐓𝐌🔥,129011,North Africa,6,416659578,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
hussein_alamlhi,حسين الاملحي,127647,Yemen,4,3135471330,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
mmohammadii61,Mahdi Mohammadi,123519,Iran,4,4704895717,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
h0d3r_fa,حسین درخشان,123273,United Kingdom,1,4897803268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staunovo,Giovanni Staunovo🛢,120044,Switzerland,2,597517815,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
agha_mohamad1_,آقــا مــحــمـــد ☕,118296,Iran - VPN,1,952105834443506000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
alhasanitaleb,طالب الحسني,117562,Yemen,1,1088212313348420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PaliNewsNetwork,The Palestine News Network,111604,United States,1,1805949990990220000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sashna111,Said Sulaiman Ashna,108695,United States,1,2839514211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALI_HASHIM_313A,علي هاشم 313,104470,West Asia,18,1361242945609990000,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
TurgayEvren1,Turgay Evren,103986,Turkey,8,373854815,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
smahmoodrazavi,سيد محمود رضوی,103364,Iran,17,785373238964675000,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
WW3_Monitor,WW3 Monitor,98187,United States,1,1447734156843230000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlinaSalazarG,Alina SalazarGóngora,97259,Mexico,3,103161101,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Mo_elmalik,Makkawi Elmalik | مكّاوي الملك,95832,Sudan,1,447690590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RunnerXBT,RunnerXBT,94956,Europe,1,5705402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IRNA_1313,IRNA - ایرنا,94566,Iran,7,779677145014600000,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
HRA80,حمیدرضا علیمی🎒,94376,Iran,3,799013603475124000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
dimitrilascaris,Dimitri Lascaris,93186,Greece,1,214708464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
apocalypseos,🅰pocalypsis 🅰pocalypseos 🇷🇺 🇨🇳 🅉,92735,North America,15,1231059979844460000,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1
AlanEyre1,Alan Eyre,92359,United States,3,297884368,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IranMilitaryEN,Iran Military News ☫ 🎒,90842,Iran,2,1936640442335970000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Iran_in_India,Iran in India,90512,,2,1024869059945540000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hasanunal1920,Prof. Dr. Hasan Ünal,88004,Turkey,1,958781575180816000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21stcentury_ML,Bay Area People’s Republic 🚩☭,87034,North America,1,266843515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Khandoozi_se,سید احسان خاندوزی,86164,Iran,1,1163413616974070000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
m_Khalili93,Mehrdad Khalili,84707,Iran,2,1144562483593670000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Phastidio,Mario Seminerio,84620,Italy,1,17028890,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalilmoheby,جلیل محبی 🎒 JALILMOHEBY,84150,West Asia,3,860947489515614000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ItsTheEnforcer,The Enforcer,78616,United States,4,1498770389010430000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
HussainShafiei,Hussain “Hoz” Shafiei,78364,United Kingdom,2,1356159033019920000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
JohnKicklighter,John Kicklighter,78103,Web VPN United States,1,22973017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LeonXXI_MX,#OrionNebula,77839,Mexico,1,55047147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navsteva,₦₳V𝚜𝚝é𝚟𝚊 🇷🇺 ᴢ,77560,United States,8,435260935,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
sidraakuser,Sidra Kuser ( Dimple Mahar),77416,Pakistan,17,1357222295459230000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Asamoh_,Rein,76889,Kenya,3,506956991,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
EnglishFars,Fars News Agency,76872,Iran,1,1829301998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrexitFx,Refined Trading.,76052,Africa,1,776076168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Smita_Sharma,Smita Sharma,75874,India,1,74977930,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
boubou_le_prof,Boubou SIDIBE,75545,Turkey,1,701477160549274000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ali_ahmadnia,Ali Ahmadnia | علی,74221,Australia,1,1097842159,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alihmourad,Ali Hassan Mourad,74199,Lebanon,1,837708103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mobtala_n,مطهره نصیری,74020,Iran,1,1406681885376500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CallaWalsh,Calla,72989,North America,1,1088232459844700000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s_k_sh,SAJJAD ☫🇮🇷,72879,Iran,10,215741796,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0
BalochNadir5,Nadir Baloch,72117,Pakistan,1,844967300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DrAhmedKalebi,"𝗗𝗿 𝗔𝗵𝗺𝗲𝗱 𝗞𝗮𝗹𝗲𝗯𝗶, 𝕆𝔾𝕎",71343,Kenya,1,4610065936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TheNavroopSingh,Navroop Singh,71146,India,8,313385516,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1
Manal_Abdelaal,Manalloka,69704,Egypt,2,240846267,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
hoflolz,Syed Muzamil Hasan Zaidi,69442,United States,1,55544099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
itxhamza480,Hamza Haider,69417,South Asia,1,1412072774923920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AkimotoThn,🇮🇷🇵🇸🇯🇵 Thoton Akimoto,69011,Japan,1,1557991538839680000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shirvani_moh,محمد شیروانی,68565,West Asia,3,1066752647162670000,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
crushtheracists,Chief Resistance ☮️,66610,Europe,1,1032230101050690000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malekshariati,مالک شریعتی🎒,66453,Iran,5,1208092430123230000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
vahabzadeh_ali,علیرضا وهاب,65597,West Asia,2,748488389050114000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
iribnews_irib,IRIB (Islamic Republic of Iran Broadcasting),64941,Iran,3,1663061403232530000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
kanyicool,Julius Kanyi,64772,Kenya,1,34937511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
m_ghanavatii,م . قنواتی,64604,Iran,2,1393175257385730000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
OndoboGreg,Greg ONDOBO®,64501,Canada,1,1411950380053830000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
drpezeshkian2,pezeshkian,64354,VPN - Iran,11,1698109875174180000,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1
ahmedyassine30,د.أحمد عباس ياسين || Ahmed A. Yassine,62480,Lebanon,1,709645469312541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ollie_Vargas_,Ollie Vargas,61484,China,1,195306655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dubalh,عبدالله دوبلة,61090,Turkey,1,542693350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BangouraKhame,Bangoura khamè 🇧🇷🇵🇹🇵🇸,60675,Africa,2,1936884649,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
anim3223,ذوالقرنين,60070,VPN - Iran,3,952453705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Kathleen_Tyson_,Kathleen Tyson,59547,United Kingdom,1,1514536620762050000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_Aljermozi0,(Ameen Aljermozi) 🇾🇪 أمين الجرموزي,59429,West Asia,6,707267097374671000,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
alishamkhani_ir,دریاسالار شهید علی شمخانی,58274,Iran,8,1222899045133240000,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0
rifain_nouvelle,LE RIFAIN LA NOUVELLE DU FRONT,57439,Europe,1,1255908980523750000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RodriguezManuel,Manuel Luis Rodríguez U.,56782,Chile,1,32159476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BluesignV,Blue sign,56450,West Asia,1,1485983569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EyesOnSouth1,Hussein of the south,56260,Lebanon,1,1677232414043560000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QuatrinaHosain,Quatrina,55811,Pakistan,1,473672864,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ohmahahm,Oh Hahm Ma,55760,Korea,1,955192716,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WaelEssam77,Wael Essam وائل عصام,55524,Europe,1,524467582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Maimonah_313,ميمونة الحجازية 🇸🇦,54894,West Asia,2,952878425135514000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
MalaikaSRaza,Samana Malaika Raza,54442,Pakistan,1,98519038,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
artedaguerracnl,Robinson Farinazzo,52782,Brazil,1,4819756024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BiLLYKHAERUDIN,BiLLY KHAERUDIN,52501,Indonesia,3,49383672,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
MuhamadAfzalECP,"Muhammad Afzal Khan, Add Secretary(R) ECP",52000,Pakistan,1,954158240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
berningman16,Empire Of Lies,51691,United States,2,4869905412,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
will_pulido,Guillermo Pulido,51309,Spain,1,3145777389,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tleilax___,Yet another commodity guy,50846,Switzerland,1,495241382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HajAhmad128,حاج احـمـد🟥☫🟩 🎒,50580,West Asia,3,1214820417464100000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
themiamivoice,THE MIAMI VOICE,49673,United States,1,2265048648,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IraninJapan,Iran in Japan/ 駐日イラン大使館,49196,Japan,5,1024209796193380000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
amalsaad_lb,Amal Saad,48915,United Kingdom,2,919245692350157000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HouseCracka,Oligarch Kabuki,47813,United States,1,16190478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
yas4748,یاس,47671,VPN - Iran,1,1350131164242210000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
roqchams,roqayah chamseddine,47588,Lebanon,2,55997506,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Minarashidi66,مینا رشیدی,47539,Iran,4,1415344922060800000,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
PrepperCanadian,Canadian Prepper,45985,Canada,1,3049075843,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
safiALshami,محمد الصفي - AL Shami,45556,Yemen,4,3476807412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
AWSALZUBAIDI,AWS ALZUBAIDI,45356,Iraq,2,1885783898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
OwaisTohid,Owais Tohid,45037,Pakistan,1,306422689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Abdul_Majid33,عبـدالمـجید خرقـانی,44858,West Asia,4,1266012764109260000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
SAMOUSAVI9,S.Abbas Mousavi | سیدعباس موسوی,44643,Iran,3,1066253827194740000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
SurvivingMyWay,Kate,44476,United States,1,220186384,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
theskibeagle,The Skibbereen Eagle - Орел Скібберін,44474,Ireland,1,15916118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aishamusic,Aisha,44420,United States,1,60110252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sarnchos,~greedy farmer™~ Àwé Alágbo™ CAC-OFR,44301,Nigeria,17,943913254321041000,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
mahmuod313,امیر-جوادی-نیا,43848,Iran,1,1263941778870120000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hahellyer,ᴅʀ. ʜ.ᴀ. ʜᴇʟʟʏᴇʀ 🖖🏾 ⚜️,43825,Egypt,1,250603308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnisSholehB,Anis Sholeh Ba'asyin,43256,Indonesia,3,63164235,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ishakaa,Arewa Daddy,43247,United States,1,186809279,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jisatu01,Ji,43239,Indonesia,2,234628519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
qaizimi,qaizimi,43143,Southeast Asia,1,1097076744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hydrah1444,عبداللاه حيدرة,42918,Yemen,1,463193964,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MomodouTaal,Momodou ✊🏿,42316,North Africa,1,36511308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ntsetsana,Ntsetsana,42284,South Africa,1,112096792,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Persianserene1,Persian Girl,42144,Iran,3,1282352242989790000,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
KimiaMozafarian,🎒 کیمیا مظفریان🟥 ☫ 🟩,41755,West Asia,2,1182559483958090000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ComptonMadeMe,Jay In The Boondocks,41617,United States,6,162216577,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
